meta.tool	meta.resol	meta.sub	chr	start	end
example_caller	10000	.	chr1	750001	900000
example_caller	10000	.	chr1	920001	1010000
example_caller	10000	.	chr1	1010001	1060000
example_caller	10000	.	chr1	1060001	1230000
example_caller	10000	.	chr1	1230001	1310000
example_caller	10000	.	chr1	1310001	1450000
example_caller	10000	.	chr1	1450001	1510000
example_caller	10000	.	chr1	1510001	1580000
example_caller	10000	.	chr1	1580001	1680000
example_caller	10000	.	chr1	1680001	1710000
example_caller	10000	.	chr1	1710001	1850000
example_caller	10000	.	chr1	1850001	1980000
example_caller	10000	.	chr1	1980001	2120000
example_caller	10000	.	chr1	2120001	2250000
example_caller	10000	.	chr1	2250001	2320000
example_caller	10000	.	chr1	2350001	2520000
example_caller	10000	.	chr1	2520001	2590000
example_caller	10000	.	chr1	2680001	3280000
example_caller	10000	.	chr1	3280001	3300000
example_caller	10000	.	chr1	3300001	3330000
example_caller	10000	.	chr1	3350001	3540000
example_caller	10000	.	chr1	3540001	3720000
example_caller	10000	.	chr1	3720001	3850000
example_caller	10000	.	chr1	3990001	4200000
example_caller	10000	.	chr1	4200001	4680000
example_caller	10000	.	chr1	4710001	4900000
example_caller	10000	.	chr1	4920001	5110000
example_caller	10000	.	chr1	5110001	5170000
example_caller	10000	.	chr1	5170001	5220000
example_caller	10000	.	chr1	5220001	5240000
example_caller	10000	.	chr1	5240001	5450000
example_caller	10000	.	chr1	5450001	5520000
example_caller	10000	.	chr1	5550001	5800000
example_caller	10000	.	chr1	5800001	5930000
example_caller	10000	.	chr1	5930001	6050000
example_caller	10000	.	chr1	6050001	6110000
example_caller	10000	.	chr1	6110001	6240000
example_caller	10000	.	chr1	6240001	6310000
example_caller	10000	.	chr1	6310001	6400000
example_caller	10000	.	chr1	6400001	6480000
example_caller	10000	.	chr1	6480001	6550000
example_caller	10000	.	chr1	6550001	6610000
example_caller	10000	.	chr1	6610001	6710000
example_caller	10000	.	chr1	6710001	6760000
example_caller	10000	.	chr1	6760001	6850000
example_caller	10000	.	chr1	6850001	6970000
example_caller	10000	.	chr1	6970001	7300000
example_caller	10000	.	chr1	7300001	7400000
example_caller	10000	.	chr1	7400001	7700000
example_caller	10000	.	chr1	7700001	7820000
example_caller	10000	.	chr1	7820001	8020000
example_caller	10000	.	chr1	8020001	8090000
example_caller	10000	.	chr1	8090001	8380000
example_caller	10000	.	chr1	8420001	8620000
example_caller	10000	.	chr1	8620001	8780000
example_caller	10000	.	chr1	8780001	8880000
example_caller	10000	.	chr1	8880001	8940000
example_caller	10000	.	chr1	8940001	9070000
example_caller	10000	.	chr1	9070001	9170000
example_caller	10000	.	chr1	9170001	9320000
example_caller	10000	.	chr1	9350001	9530000
example_caller	10000	.	chr1	9550001	9650000
example_caller	10000	.	chr1	9680001	9780000
example_caller	10000	.	chr1	9780001	9840000
example_caller	10000	.	chr1	9840001	9930000
example_caller	10000	.	chr1	9930001	10010000
example_caller	10000	.	chr1	10010001	10090000
example_caller	10000	.	chr1	10090001	10230000
example_caller	10000	.	chr1	10230001	10420000
example_caller	10000	.	chr1	10420001	10490000
example_caller	10000	.	chr1	10490001	10560000
example_caller	10000	.	chr1	10560001	11090000
example_caller	10000	.	chr1	11090001	11310000
example_caller	10000	.	chr1	11360001	11710000
example_caller	10000	.	chr1	11710001	11870000
example_caller	10000	.	chr1	11870001	11970000
example_caller	10000	.	chr1	11970001	12040000
example_caller	10000	.	chr1	12040001	12150000
example_caller	10000	.	chr1	12180001	12290000
example_caller	10000	.	chr1	12290001	12360000
example_caller	10000	.	chr1	12360001	12680000
example_caller	10000	.	chr1	12680001	12740000
example_caller	10000	.	chr1	12740001	12850000
example_caller	10000	.	chr1	12850001	12950000
example_caller	10000	.	chr1	13770001	13880000
example_caller	10000	.	chr1	13880001	13980000
example_caller	10000	.	chr1	13980001	14090000
example_caller	10000	.	chr1	14090001	14150000
example_caller	10000	.	chr1	14150001	14310000
example_caller	10000	.	chr1	14310001	14370000
example_caller	10000	.	chr1	14370001	14460000
example_caller	10000	.	chr1	14460001	14480000
example_caller	10000	.	chr1	14480001	14920000
example_caller	10000	.	chr1	14920001	15110000
example_caller	10000	.	chr1	15110001	15170000
example_caller	10000	.	chr1	15170001	15250000
example_caller	10000	.	chr1	15250001	15370000
example_caller	10000	.	chr1	15370001	15440000
example_caller	10000	.	chr1	15440001	15630000
example_caller	10000	.	chr1	15630001	15760000
example_caller	10000	.	chr1	15760001	15850000
example_caller	10000	.	chr1	15850001	15940000
example_caller	10000	.	chr1	15940001	16120000
example_caller	10000	.	chr1	16120001	16250000
example_caller	10000	.	chr1	16250001	16330000
example_caller	10000	.	chr1	16330001	16400000
example_caller	10000	.	chr1	16400001	16520000
example_caller	10000	.	chr1	16520001	16570000
example_caller	10000	.	chr1	16570001	16690000
example_caller	10000	.	chr1	16690001	16760000
example_caller	10000	.	chr1	16760001	16840000
example_caller	10000	.	chr1	16840001	16880000
example_caller	10000	.	chr1	16880001	16980000
example_caller	10000	.	chr1	17000001	17060000
example_caller	10000	.	chr1	17180001	17220000
example_caller	10000	.	chr1	17220001	17380000
example_caller	10000	.	chr1	17380001	17450000
example_caller	10000	.	chr1	17450001	17570000
example_caller	10000	.	chr1	17570001	17730000
example_caller	10000	.	chr1	17730001	17820000
example_caller	10000	.	chr1	17820001	17960000
example_caller	10000	.	chr1	17980001	18160000
example_caller	10000	.	chr1	18160001	18240000
example_caller	10000	.	chr1	18240001	18440000
example_caller	10000	.	chr1	18440001	18620000
example_caller	10000	.	chr1	18620001	18720000
example_caller	10000	.	chr1	18720001	18920000
example_caller	10000	.	chr1	18920001	19200000
example_caller	10000	.	chr1	19200001	19290000
example_caller	10000	.	chr1	19290001	19390000
example_caller	10000	.	chr1	19390001	19580000
example_caller	10000	.	chr1	19580001	19640000
example_caller	10000	.	chr1	19640001	19710000
example_caller	10000	.	chr1	19710001	19820000
example_caller	10000	.	chr1	19820001	19910000
example_caller	10000	.	chr1	19910001	19980000
example_caller	10000	.	chr1	19980001	20040000
example_caller	10000	.	chr1	20040001	20190000
example_caller	10000	.	chr1	20210001	20400000
example_caller	10000	.	chr1	20400001	20540000
example_caller	10000	.	chr1	20540001	20810000
example_caller	10000	.	chr1	20810001	20960000
example_caller	10000	.	chr1	20990001	21120000
example_caller	10000	.	chr1	21120001	21290000
example_caller	10000	.	chr1	21290001	21520000
example_caller	10000	.	chr1	21520001	21700000
example_caller	10000	.	chr1	21700001	21990000
example_caller	10000	.	chr1	21990001	22120000
example_caller	10000	.	chr1	22120001	22300000
example_caller	10000	.	chr1	22300001	22340000
example_caller	10000	.	chr1	22340001	22450000
example_caller	10000	.	chr1	22450001	22740000
example_caller	10000	.	chr1	22740001	22990000
example_caller	10000	.	chr1	22990001	23280000
example_caller	10000	.	chr1	23280001	23420000
example_caller	10000	.	chr1	23420001	23510000
example_caller	10000	.	chr1	23510001	23600000
example_caller	10000	.	chr1	23600001	23670000
example_caller	10000	.	chr1	23670001	23730000
example_caller	10000	.	chr1	23730001	23810000
example_caller	10000	.	chr1	23810001	23870000
example_caller	10000	.	chr1	23870001	23970000
example_caller	10000	.	chr1	23970001	24010000
example_caller	10000	.	chr1	24010001	24100000
example_caller	10000	.	chr1	24100001	24260000
example_caller	10000	.	chr1	24360001	24480000
example_caller	10000	.	chr1	24480001	24530000
example_caller	10000	.	chr1	24530001	24720000
example_caller	10000	.	chr1	24720001	24970000
example_caller	10000	.	chr1	24970001	25170000
example_caller	10000	.	chr1	25170001	25250000
example_caller	10000	.	chr1	25250001	25360000
example_caller	10000	.	chr1	25360001	25430000
example_caller	10000	.	chr1	25430001	25560000
example_caller	10000	.	chr1	25590001	25650000
example_caller	10000	.	chr1	25660001	25730000
example_caller	10000	.	chr1	25730001	25820000
example_caller	10000	.	chr1	25820001	25840000
example_caller	10000	.	chr1	25840001	25930000
example_caller	10000	.	chr1	25930001	26140000
example_caller	10000	.	chr1	26140001	26230000
example_caller	10000	.	chr1	26230001	26340000
example_caller	10000	.	chr1	26340001	26420000
example_caller	10000	.	chr1	26420001	26490000
example_caller	10000	.	chr1	26490001	26560000
example_caller	10000	.	chr1	26580001	26760000
example_caller	10000	.	chr1	26760001	26800000
example_caller	10000	.	chr1	26800001	26930000
example_caller	10000	.	chr1	26930001	27020000
example_caller	10000	.	chr1	27020001	27120000
example_caller	10000	.	chr1	27120001	27220000
example_caller	10000	.	chr1	27220001	27320000
example_caller	10000	.	chr1	27320001	27430000
example_caller	10000	.	chr1	27430001	27620000
example_caller	10000	.	chr1	27620001	27730000
example_caller	10000	.	chr1	27730001	27820000
example_caller	10000	.	chr1	27820001	27930000
example_caller	10000	.	chr1	27930001	27990000
example_caller	10000	.	chr1	27990001	28050000
example_caller	10000	.	chr1	28050001	28180000
example_caller	10000	.	chr1	28180001	28310000
example_caller	10000	.	chr1	28310001	28390000
example_caller	10000	.	chr1	28390001	28410000
example_caller	10000	.	chr1	28410001	28570000
example_caller	10000	.	chr1	28570001	28690000
example_caller	10000	.	chr1	28690001	28830000
example_caller	10000	.	chr1	28830001	28970000
example_caller	10000	.	chr1	28970001	29110000
example_caller	10000	.	chr1	29110001	29210000
example_caller	10000	.	chr1	29210001	29510000
example_caller	10000	.	chr1	29560001	29670000
example_caller	10000	.	chr1	29670001	29820000
example_caller	10000	.	chr1	29820001	29880000
example_caller	10000	.	chr1	30020001	30190000
example_caller	10000	.	chr1	30190001	30350000
example_caller	10000	.	chr1	30350001	30850000
example_caller	10000	.	chr1	30850001	31050000
example_caller	10000	.	chr1	31050001	31190000
example_caller	10000	.	chr1	31190001	31270000
example_caller	10000	.	chr1	31270001	31390000
example_caller	10000	.	chr1	31390001	31540000
example_caller	10000	.	chr1	31540001	31630000
example_caller	10000	.	chr1	31650001	31830000
example_caller	10000	.	chr1	31890001	32020000
example_caller	10000	.	chr1	32020001	32110000
example_caller	10000	.	chr1	32110001	32260000
example_caller	10000	.	chr1	32260001	32440000
example_caller	10000	.	chr1	32440001	32480000
example_caller	10000	.	chr1	32480001	32540000
example_caller	10000	.	chr1	32540001	32650000
example_caller	10000	.	chr1	32650001	32800000
example_caller	10000	.	chr1	32800001	32870000
example_caller	10000	.	chr1	32900001	32980000
example_caller	10000	.	chr1	32980001	33080000
example_caller	10000	.	chr1	33080001	33150000
example_caller	10000	.	chr1	33170001	33250000
example_caller	10000	.	chr1	33250001	33340000
example_caller	10000	.	chr1	33340001	33400000
example_caller	10000	.	chr1	33400001	33560000
example_caller	10000	.	chr1	33560001	33650000
example_caller	10000	.	chr1	33650001	33720000
example_caller	10000	.	chr1	33720001	33760000
example_caller	10000	.	chr1	33760001	33830000
example_caller	10000	.	chr1	33830001	33940000
example_caller	10000	.	chr1	33940001	34100000
example_caller	10000	.	chr1	34100001	34200000
example_caller	10000	.	chr1	34220001	34560000
example_caller	10000	.	chr1	34560001	34630000
example_caller	10000	.	chr1	34630001	34920000
example_caller	10000	.	chr1	34920001	35070000
example_caller	10000	.	chr1	35070001	35220000
example_caller	10000	.	chr1	35220001	35330000
example_caller	10000	.	chr1	35330001	35440000
example_caller	10000	.	chr1	35440001	35500000
example_caller	10000	.	chr1	35500001	35630000
example_caller	10000	.	chr1	35660001	35760000
example_caller	10000	.	chr1	35760001	35910000
example_caller	10000	.	chr1	35910001	36030000
example_caller	10000	.	chr1	36030001	36110000
example_caller	10000	.	chr1	36110001	36180000
example_caller	10000	.	chr1	36180001	36240000
example_caller	10000	.	chr1	36240001	36350000
example_caller	10000	.	chr1	36350001	36400000
example_caller	10000	.	chr1	36400001	36550000
example_caller	10000	.	chr1	36550001	36770000
example_caller	10000	.	chr1	36770001	36930000
example_caller	10000	.	chr1	36930001	37060000
example_caller	10000	.	chr1	37060001	37170000
example_caller	10000	.	chr1	37170001	37790000
example_caller	10000	.	chr1	37790001	37900000
example_caller	10000	.	chr1	37900001	38020000
example_caller	10000	.	chr1	38020001	38060000
example_caller	10000	.	chr1	38060001	38160000
example_caller	10000	.	chr1	38160001	38260000
example_caller	10000	.	chr1	38260001	38330000
example_caller	10000	.	chr1	38330001	38480000
example_caller	10000	.	chr1	38480001	38540000
example_caller	10000	.	chr1	38540001	38940000
example_caller	10000	.	chr1	38940001	39070000
